worker,time,bytes_sent,bytes_received
16,30,2453540784,2464714392
0,1,130333536,152496120
0,2,262931840,303761440
0,3,389673200,444318800
0,4,472923384,521142440
0,5,546967840,597575536
0,6,673657016,676213024
0,7,747712304,738505984
0,8,822155936,802199160
0,9,903285744,876829080
0,10,976551232,978219488
0,11,1056111184,1055131456
0,12,1135146096,1098371632
0,13,1210378416,1173711072
0,14,1284038624,1247602512
0,15,1356388112,1371350040
0,16,1440662896,1445547400
0,17,1511041040,1509677872
0,18,1589941120,1581075000
0,19,1665432576,1628431688
0,20,1747614720,1694898880
0,21,1821932544,1758387888
0,22,1901886464,1822690672
0,23,1975811072,1900632168
0,24,2054847488,1975734136
0,25,2126806016,2051944800
0,26,2202041344,2209657008
0,27,2281339904,2286794672
0,28,2355788800,2363127888
0,29,2435480576,2423607952
0,30,2511633408,2473080320
3,1,151619024,119008632
3,2,316252296,220538424
3,3,386882912,279337304
3,4,465327168,372182248
3,5,539491944,466101824
3,6,614465128,599434328
3,7,672398952,678638320
3,8,728497768,755958528
3,9,816971368,834252224
3,10,925236840,901388328
3,11,1001127528,960193056
3,12,1081081448,1025791800
3,13,1157496424,1078457008
3,14,1237974632,1177802840
3,15,1307049576,1286095864
3,16,1355021928,1372932424
3,17,1424096872,1446068008
3,18,1518075496,1527428624
3,19,1620967016,1581932808
3,20,1695940200,1633893984
3,21,1773010536,1670985952
3,22,1852702312,1743854856
3,23,1928461928,1817790736
3,24,2007629416,1931737808
3,25,2080505448,2060883576
3,26,2160852584,2141120312
3,27,2238184896,2204627792
3,28,2314599872,2298844616
3,29,2362047936,2370761896
3,30,2433088960,2449194936
15,1,70563312,66525472
15,2,146054432,146870648
15,3,247353248,259953656
15,4,346164240,372970056
15,5,447865584,485294312
15,6,542761712,599285160
15,7,597025520,671586696
15,8,655352560,748843288
15,9,744350448,831582008
15,10,839508720,903690960
15,11,921690864,981140136
15,12,975823600,1057380976
15,13,1040048880,1137788416
15,14,1100735216,1213420120
15,15,1183048432,1285907248
15,16,1316610800,1365257648
15,17,1442702064,1433897192
15,18,1523311344,1475634344
15,19,1602085616,1533396512
15,20,1682957040,1623423032
15,21,1757274864,1700139216
15,22,1834476272,1765352600
15,23,1911284464,1817549384
15,24,1984029424,1926959800
15,25,2060313328,2057586584
15,26,2111824624,2130937536
15,27,2170413808,2211411384
15,28,2262950640,2288346856
15,29,2376852208,2359938152
15,30,2452480752,2414857896
17,1,316559208,259475864
