worker,time,bytes_sent,bytes_received
84,1,158863640,198908760
84,2,262450480,292606504
84,3,383851856,369952872
84,4,448585368,444758000
84,5,533507984,510763440
84,6,589538152,594311592
84,7,681420832,674068760
84,8,758915072,747142080
84,9,830567776,820955784
84,10,903623736,887019336
84,11,980629672,980215512
84,12,1058437448,1045499368
84,13,1133767224,1125395664
84,14,1201783144,1203427304
84,15,1275555696,1280831592
84,16,1355214856,1354132896
84,17,1438712984,1403492320
84,18,1509356080,1508392680
84,19,1586936440,1569298456
84,20,1651923880,1662537552
84,21,1740104328,1737514992
84,22,1809551008,1810838816
84,23,1890372688,1886544832
84,24,1964404896,1956841984
84,25,2041638368,2036872200
84,26,2120431968,2116484616
84,27,2192730888,2187506120
84,28,2243755384,2265673952
84,29,2329739936,2342435328
84,30,2420881824,2400525496
127,1,72128688,35280600
127,2,140263040,81175016
127,3,212289536,131844880
127,4,271041840,180853888
127,5,332345968,234790440
127,6,395956896,289309088
127,7,459809752,342557840
127,8,522973360,394219584
127,9,595386928,457190208
127,10,663721368,524076224
127,11,735312392,588126360
127,12,804828568,652285792
127,13,873048760,714824912
127,14,939691024,774009016
127,15,1006586824,824622408
127,16,1076259944,891288328
127,17,1149280392,956064608
127,18,1218095128,1019835976
127,19,1288481648,1083031040
127,20,1358455392,1152695768
127,21,1428594824,1220708328
127,22,1500090328,1288888856
127,23,1573537384,1357451656
127,24,1644621968,1423604984
127,25,1716559816,1489526632
127,26,1787207136,1557510232
127,27,1857010760,1622316920
127,28,1929278080,1687223520
127,29,1998821800,1749806080
127,30,2066771272,1810610496
47,1,88661072,53112056
47,2,163563568,123896088
47,3,228707456,192332912
47,4,297688264,255394760
47,5,363430256,317327168
47,6,438560280,382517576
47,7,513637672,447363360
47,8,591128296,515819008
47,9,664922360,580479448
47,10,739629136,650581472
47,11,811773424,716039760
47,12,884943032,787352312
47,13,953659880,849388976
47,14,1028117744,913390576
47,15,1097242792,979945000
47,16,1170428840,1051437104
47,17,1243645936,1119697272
47,18,1315122560,1183597512
47,19,1388563376,1253886328
47,20,1462612072,1327221736
47,21,1534956752,1398199800
47,22,1608030472,1465142288
47,23,1688570728,1525791768
47,24,1765857352,1587263712
47,25,1841615024,1652032752
47,26,1922337224,1721791600
47,27,1997963296,1790093760
47,28,2069243416,1855307336
